t,J1,J2,J3,J4,J5,J6,GL,GR
1.072000,-0.001054,-0.980228,0.760424,0.396248,-0.511720,0.599461,0.014879,-0.002606
1.076000,-0.001052,-0.980241,0.760451,0.396270,-0.511737,0.599485,0.014887,-0.002603
1.080000,-0.001050,-0.980254,0.760477,0.396291,-0.511754,0.599509,0.014895,-0.002600
1.084000,-0.001048,-0.980267,0.760502,0.396312,-0.511770,0.599532,0.014903,-0.002598
1.088000,-0.001046,-0.980279,0.760528,0.396333,-0.511786,0.599555,0.014911,-0.002595
1.092000,-0.001043,-0.980290,0.760552,0.396353,-0.511801,0.599577,0.014919,-0.002593
1.096000,-0.001041,-0.980302,0.760577,0.396373,-0.511817,0.599598,0.014927,-0.002590
1.100000,-0.001039,-0.980313,0.760601,0.396393,-0.511831,0.599619,0.014935,-0.002587
1.104000,-0.001037,-0.980324,0.760624,0.396412,-0.511846,0.599640,0.014943,-0.002585
1.108000,-0.001034,-0.980334,0.760648,0.396430,-0.511860,0.599660,0.014950,-0.002582
1.112000,-0.001032,-0.980344,0.760670,0.396449,-0.511874,0.599680,0.014958,-0.002580
1.116000,-0.001030,-0.980354,0.760693,0.396466,-0.511887,0.599699,0.014966,-0.002577
1.120000,-0.001027,-0.980364,0.760715,0.396484,-0.511901,0.599717,0.014974,-0.002574
1.124000,-0.001025,-0.980373,0.760737,0.396501,-0.511914,0.599736,0.014981,-0.002572
1.128000,-0.001022,-0.980382,0.760758,0.396518,-0.511926,0.599754,0.014989,-0.002569
1.132000,-0.001020,-0.980391,0.760779,0.396535,-0.511939,0.599771,0.014997,-0.002567
